,type,id,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId,type,latitude,longitude
12,Feature,32008901,32008901,PGE,1714188780000,1714323600000,BRKN POLE EQUIPMNT,1,SAN MATEO,Active,Not Planned,93c833e9-be4b-4e6a-af32-ffc9df092b07,#ffaa00,,2440559,Point,-122.33622,37.40214
13,Feature,32008902,32008902,PGE,1714266720000,1714330800000,CAR POLE,43,SANTA CLARA,Active,Not Planned,cbcd01d5-c449-4843-966c-93ed54f0dbab,#ffaa00,,2440779,Point,-122.06869,37.32151
16,Feature,32008905,32008905,PGE,1714278873000,1714330800000,REPLCE SRVC,1,SANTA CLARA,Active,Not Planned,998ccacf-1053-418d-b082-f3f49db8e693,#ffaa00,,2440854,Point,-122.0685,37.31067
17,Feature,32008906,32008906,PGE,1714279945000,1714312800000,PLNND SHUTDOWN,29,ALAMEDA,Active,Planned,e76fdb4b-17f9-4747-a755-69af533b3a05,#a8a800,,2440857,Point,-122.26566,37.82242
18,Feature,32008907,32008907,PGE,1714281243000,1714323600000,Awaiting Investigation,1,CONTRA COSTA,Active,Not Planned,470b86e2-bc0c-4d52-8761-3614298a06f1,#ffaa00,,2440863,Point,-122.03721,37.97053
19,Feature,32008908,32008908,PGE,1714282240000,1714323600000,Awaiting Investigation,1,ALAMEDA,Active,Not Planned,693c919e-328e-4b36-8b9e-e7297ce54de2,#ffaa00,,2440865,Point,-121.94088,37.53959
20,Feature,32008909,32008909,PGE,1714284263000,1714327200000,PLNND SHUTDOWN,27,SANTA CLARA,Active,Planned,59cb1396-2695-4711-a9a5-26261840eafa,#a8a800,,2440869,Point,-121.90209,37.25359
21,Feature,32008910,32008910,PGE,1714284317000,1714327200000,PLNND SHUTDOWN,9,SANTA CLARA,Active,Planned,9845cba3-0deb-46c6-9b7b-61e1ec181b0b,#a8a800,,2440870,Point,-121.89705,37.25601
22,Feature,32008911,32008911,PGE,1714284338000,1714323600000,,1,ALAMEDA,Active,Not Planned,58197392-d52f-470f-95fd-364a4394ca11,#ffaa00,,2440871,Point,-122.0109,37.65242
24,Feature,32008913,32008913,PGE,1714286180000,1714316400000,PLNND SHUTDOWN,4,NAPA,Active,Planned,6d548e54-8f3a-439b-bf55-66f6bb54ae46,#a8a800,,2440873,Point,-122.26016,38.33848
25,Feature,32008914,32008914,PGE,1714286241000,1714316400000,PLNND SHUTDOWN,1,NAPA,Active,Planned,99b3862b-b566-419e-8df5-9d5778e4f638,#a8a800,,2440874,Point,-122.26106,38.33764
27,Feature,32008916,32008916,PGE,1714287660000,1714316400000,PLNND SHUTDOWN,7,NAPA,Active,Planned,a196f26a-7085-4dfe-a36c-5722166ffa11,#a8a800,,2440876,Point,-122.60197,38.63317
28,Feature,32008917,32008917,PGE,1714288903000,1714316400000,Awaiting Investigation,1,ALAMEDA,Active,Not Planned,d111953d-5bed-4c27-8811-443d6e335846,#ffaa00,,2440877,Point,-122.1136,37.66876
31,Feature,32008920,32008920,PGE,1714305304000,1714329000000,,1,ALAMEDA,Active,Not Planned,d0daf093-2bb7-45d5-a1cc-bd75737cdc8e,#ffaa00,,2440892,Point,-121.70632,37.70783
34,Feature,32008923,32008923,PGE,1714308077000,1714322700000,,79,ALAMEDA,Active,Not Planned,042db7c0-b464-4da5-a1b2-999bf254de91,#ffaa00,,2440911,Point,-122.26162,37.82194
