,type,id,geometry,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId
110,Feature,31966410,"{'type': 'Point', 'coordinates': [-122.08436, 38.23969]}",31966410,PGE,1713687739000,1714143600000.0,BRKN UG EQUIPMNT,1,SOLANO,Active,Not Planned,8fe18ff4-bb52-4c46-ae60-db643685ea03,#ffaa00,,2435725
114,Feature,31966414,"{'type': 'Point', 'coordinates': [-122.19336, 38.14115]}",31966414,PGE,1713905426000,1714086000000.0,REPAIR WIRE DWN,1,SOLANO,Active,Not Planned,8b2099d4-873d-4812-81ce-9a3e69dc0f36,#ffaa00,,2437556
117,Feature,31966417,"{'type': 'Point', 'coordinates': [-122.229, 38.08859]}",31966417,PGE,1713970800000,1713999600000.0,PLNND SHUTDOWN,19,SOLANO,Active,Planned,ad301fd7-54f5-449e-9afa-090cc2dd9039,#a8a800,,2437823
121,Feature,31966421,"{'type': 'Point', 'coordinates': [-122.21247, 38.41159]}",31966421,PGE,1713970800000,1713996000000.0,PLNND SHUTDOWN,7,NAPA,Active,Planned,f6d16207-51b1-4175-adca-b7464545147a,#a8a800,,2437843
123,Feature,31966423,"{'type': 'Point', 'coordinates': [-122.52108, 37.94653]}",31966423,PGE,1713970800000,1713999600000.0,PLNND SHUTDOWN,241,MARIN,Active,Planned,f65fec42-1255-48b2-bf73-71eb181dc163,#a8a800,,2437848
131,Feature,31966431,"{'type': 'Point', 'coordinates': [-121.83333, 37.99951]}",31966431,PGE,1713970314000,1713989700000.0,,1,CONTRA COSTA,Active,Not Planned,84c5de9f-fcc2-4685-95ed-336199b50267,#ffaa00,,2437870
141,Feature,31966441,"{'type': 'Point', 'coordinates': [-122.28963, 37.87398]}",31966441,PGE,1713970876000,1713996000000.0,PLNND SHUTDOWN,33,ALAMEDA,Active,Planned,e33d3e89-1328-4eca-918b-ce37dbf6fddd,#a8a800,,2437884
142,Feature,31966442,"{'type': 'Point', 'coordinates': [-122.73878, 38.45111]}",31966442,PGE,1713970960000,1713994200000.0,PLNND SHUTDOWN,11,SONOMA,Active,Planned,71c72b42-f39b-48a2-948d-c3cb4889618e,#a8a800,,2437886
143,Feature,31966443,"{'type': 'Point', 'coordinates': [-122.59909, 38.39181]}",31966443,PGE,1713970962000,1713994200000.0,PLNND SHUTDOWN,2,SONOMA,Active,Planned,73bb544d-9942-4623-8d3f-807531edd02a,#a8a800,,2437887
150,Feature,31966450,"{'type': 'Point', 'coordinates': [-122.12256, 37.87642]}",31966450,PGE,1713971760000,1713992400000.0,PLNND SHUTDOWN,14,CONTRA COSTA,Active,Planned,c873c577-0b37-446b-8f45-73e5a3cbc926,#a8a800,,2437898
155,Feature,31966455,"{'type': 'Point', 'coordinates': [-122.06336, 37.70402]}",31966455,PGE,1713972468000,1714003200000.0,PLNND SHUTDOWN,36,ALAMEDA,Active,Planned,4ce85ff1-0e35-40dd-8d33-f20231b5e35c,#a8a800,,2437904
158,Feature,31966458,"{'type': 'Point', 'coordinates': [-122.6982, 38.45552]}",31966458,PGE,1713972600000,1713997800000.0,PLNND SHUTDOWN,47,SONOMA,Active,Planned,27969799-436f-4081-b4d2-dd0be7efab53,#a8a800,,2437907
159,Feature,31966459,"{'type': 'Point', 'coordinates': [-122.36874, 37.93659]}",31966459,PGE,1713972646000,1713987900000.0,PATROLLING,1,CONTRA COSTA,Active,Not Planned,3bb24d4c-66a6-4409-b8b7-6b5dea5d3561,#ffaa00,,2437908
160,Feature,31966460,"{'type': 'Point', 'coordinates': [-122.65095, 38.52993]}",31966460,PGE,1713971700000,1713994200000.0,PLNND SHUTDOWN,2,SONOMA,Active,Planned,1f3ac3d4-38e5-4d0e-ad25-6847ab2de581,#a8a800,,2437909
