,type,id,geometry,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId
80,Feature,31919310,"{'type': 'Point', 'coordinates': [-122.39572, 37.59435]}",31919310,PGE,1713480764000,1713500160000,,69,SAN MATEO,Active,Not Planned,0bd9d75e-b9f6-42af-a6d2-7f4a9239d6a9,#ffaa00,,2434361
82,Feature,31919312,"{'type': 'Point', 'coordinates': [-122.37296, 38.33464]}",31919312,PGE,1713507960000,1713564000000,PATROLLING,15,NAPA,Active,Not Planned,9fcc3c89-9b04-47db-af7f-309ab334eeab,#ffaa00,,2434480
86,Feature,31919316,"{'type': 'Point', 'coordinates': [-122.35024, 37.95652]}",31919316,PGE,1713530415000,1713560400000,,26,CONTRA COSTA,Active,Not Planned,b0f22ca7-f079-4ada-8ff5-1a48a4d64b02,#ffaa00,,2434553
91,Feature,31919321,"{'type': 'Point', 'coordinates': [-122.01749, 37.59527]}",31919321,PGE,1713534780000,1713567600000,REPAIR WIRE DWN,11,ALAMEDA,Active,Not Planned,97fa21ac-9b60-4ccf-97a0-9d851ef2d18f,#ffaa00,,2434580
93,Feature,31919323,"{'type': 'Point', 'coordinates': [-122.48795, 38.51054]}",31919323,PGE,1713540600000,1713564000000,PLNND SHUTDOWN,2,NAPA,Active,Planned,ac3594b6-dd24-4dc8-9ae4-9bfbe1f2a9bf,#a8a800,,2434626
95,Feature,31919325,"{'type': 'Point', 'coordinates': [-121.83355, 37.20556]}",31919325,PGE,1713536950000,1713550500000,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,133af350-2c22-4cb3-b1c3-f97868378d5e,#a8a800,,2434632
99,Feature,31919329,"{'type': 'Point', 'coordinates': [-122.03148, 37.28908]}",31919329,PGE,1713537619000,1713573900000,PATROLLING,7,SANTA CLARA,Active,Not Planned,0b92d366-b0fa-473b-b7d2-8736204ad517,#ffaa00,,2434639
109,Feature,31919339,"{'type': 'Point', 'coordinates': [-122.65699, 38.58168]}",31919339,PGE,1713542400000,1713571200000,PLNND SHUTDOWN,17,SONOMA,Active,Planned,6ea34390-8394-4b8c-8e36-ed1b9a94705d,#a8a800,,2434650
110,Feature,31919340,"{'type': 'Point', 'coordinates': [-121.79535, 37.66947]}",31919340,PGE,1713538889000,1713550500000,PATROLLING,1,ALAMEDA,Active,Not Planned,6c73246d-de91-4de4-a4fe-59bb80afe081,#ffaa00,,2434651
111,Feature,31919341,"{'type': 'Point', 'coordinates': [-123.01703, 38.76595]}",31919341,PGE,1713538886000,1713567600000,PLNND SHUTDOWN,3,SONOMA,Active,Planned,6d4eadf9-6a70-4171-89b4-5d014040d4f4,#a8a800,,2434654
112,Feature,31919342,"{'type': 'Point', 'coordinates': [-122.36417, 38.34951]}",31919342,PGE,1713538980000,1713567600000,PLNND SHUTDOWN,2,NAPA,Active,Planned,4e73bbe0-98a3-4dd4-bae9-b567f53fa477,#a8a800,,2434657
115,Feature,31919345,"{'type': 'Point', 'coordinates': [-122.68283, 38.47861]}",31919345,PGE,1713538830000,1713551400000,PLNND SHUTDOWN,5,SONOMA,Active,Planned,a17cd21a-6b0b-4cf0-af48-5d3ba1f56ba0,#a8a800,,2434660
123,Feature,31919353,"{'type': 'Point', 'coordinates': [-122.14087, 37.75782]}",31919353,PGE,1713539379000,1713553200000,PLNND SHUTDOWN,81,ALAMEDA,Active,Planned,1f0de313-f525-4f4d-961f-7e491f8b941b,#a8a800,,2434669
136,Feature,31919366,"{'type': 'Point', 'coordinates': [-121.72989, 37.68492]}",31919366,PGE,1713540121000,1713567600000,PATROLLING,1,ALAMEDA,Active,Not Planned,c88db53e-ca57-4c4a-b13c-79cdfbe1ae30,#ffaa00,,2434686
137,Feature,31919367,"{'type': 'Point', 'coordinates': [-122.90938, 38.44432]}",31919367,PGE,1713539400000,1713562200000,PLNND SHUTDOWN,135,SONOMA,Active,Planned,10bc45b4-2e4c-4842-b8f6-0791850b5030,#a8a800,,2434687
138,Feature,31919368,"{'type': 'Point', 'coordinates': [-122.71905, 38.5201]}",31919368,PGE,1713540600000,1713564000000,PLNND SHUTDOWN,32,SONOMA,Active,Planned,de7527c0-d46f-42cd-9cca-52a71816d995,#a8a800,,2434688
139,Feature,31919369,"{'type': 'Point', 'coordinates': [-122.02503, 37.29776]}",31919369,PGE,1713540180000,1713560400000,PLNND SHUTDOWN,65,SANTA CLARA,Active,Planned,85ba7fb3-ebee-411f-b6ab-54d826548110,#a8a800,,2434689
141,Feature,31919371,"{'type': 'Point', 'coordinates': [-122.21031, 37.33011]}",31919371,PGE,1713540600000,1713562200000,PLNND SHUTDOWN,11,SAN MATEO,Active,Planned,2af5b5aa-71d7-4845-a77c-7b85681ffebb,#a8a800,,2434692
146,Feature,31919376,"{'type': 'Point', 'coordinates': [-122.0229, 37.27387]}",31919376,PGE,1713540840000,1713567600000,PLNND SHUTDOWN,64,SANTA CLARA,Active,Planned,48f3a48a-f201-4c16-8912-bfb38e9f209c,#a8a800,,2434699
147,Feature,31919377,"{'type': 'Point', 'coordinates': [-122.47927, 37.78016]}",31919377,PGE,1713541005000,1713548700000,,1,SAN FRANCISCO,Active,Not Planned,e8ae26a0-3cc7-4e78-aeb3-cd4a3c644eaf,#ffaa00,,2434700
148,Feature,31919378,"{'type': 'Point', 'coordinates': [-122.4671, 37.86866]}",31919378,PGE,1713541023000,1713569400000,PLNND SHUTDOWN,19,MARIN,Active,Planned,e30b7e2a-5521-43f8-9e00-11b8055d8fd6,#a8a800,,2434701
152,Feature,31919382,"{'type': 'Point', 'coordinates': [-122.44794, 37.73698]}",31919382,PGE,1713541067000,1713556800000,PLNND SHUTDOWN,36,SAN FRANCISCO,Active,Planned,7dbba377-5a60-4b92-bf1f-49e480fabb5a,#a8a800,,2434707
153,Feature,31919383,"{'type': 'Point', 'coordinates': [-122.8214, 38.40808]}",31919383,PGE,1713541448000,1713548700000,,1,SONOMA,Active,Not Planned,c2572fc0-afc0-4282-bcf8-066d62504160,#ffaa00,,2434708
154,Feature,31919384,"{'type': 'Point', 'coordinates': [-122.1523, 38.05791]}",31919384,PGE,1713541171000,1713547800000,PLNND SHUTDOWN,9,SOLANO,Active,Planned,a9c1b5b7-e2b4-464f-a31a-17bd13696429,#a8a800,,2434709
158,Feature,31919388,"{'type': 'Point', 'coordinates': [-122.28472, 37.9003]}",31919388,PGE,1713541560000,1713569400000,PLNND SHUTDOWN,29,CONTRA COSTA,Active,Planned,63f64e15-e3ec-4fc8-b828-1f120a33d590,#a8a800,,2434713
160,Feature,31919390,"{'type': 'Point', 'coordinates': [-122.2895, 37.91382]}",31919390,PGE,1713541320000,1713573000000,PLNND SHUTDOWN,29,CONTRA COSTA,Active,Planned,b3cf4f2d-e829-466f-979c-3986a7a9be17,#a8a800,,2434716
161,Feature,31919391,"{'type': 'Point', 'coordinates': [-122.28657, 37.91182]}",31919391,PGE,1713541584000,1713551400000,PATROLLING,88,CONTRA COSTA,Active,Not Planned,23dcab32-9957-4100-8cb8-41aaedf2516b,#ffaa00,,2434719
167,Feature,31919397,"{'type': 'Point', 'coordinates': [-121.92479, 37.28277]}",31919397,PGE,1713542400000,1713571200000,PLNND SHUTDOWN,165,SANTA CLARA,Active,Planned,47757581-fc08-4184-8950-4c89e11069ba,#a8a800,,2434725
168,Feature,31919398,"{'type': 'Point', 'coordinates': [-121.92455, 37.28278]}",31919398,PGE,1713542400000,1713571200000,PLNND SHUTDOWN,8,SANTA CLARA,Active,Planned,ca788d0b-b150-4e52-b581-54e01c0c8217,#a8a800,,2434726
169,Feature,31919399,"{'type': 'Point', 'coordinates': [-122.90731, 38.4941]}",31919399,PGE,1713541920000,1713569400000,PLNND SHUTDOWN,15,SONOMA,Active,Planned,4a447395-cfc8-496b-b2f8-49c173f02f35,#a8a800,,2434727
170,Feature,31919400,"{'type': 'Point', 'coordinates': [-122.46499, 37.50756]}",31919400,PGE,1713542235000,1713560400000,PATROLLING,1,SAN MATEO,Active,Not Planned,7c00a8d5-4857-4ed6-8456-4381ceed78b7,#ffaa00,,2434728
171,Feature,31919401,"{'type': 'Point', 'coordinates': [-122.03212, 37.2931]}",31919401,PGE,1713542279000,1713555900000,,1,SANTA CLARA,Active,Not Planned,f9cc6e82-1d22-4961-9b07-e5167a536cc9,#ffaa00,,2434729
172,Feature,31919402,"{'type': 'Point', 'coordinates': [-121.8422, 37.3278]}",31919402,PGE,1713542306000,1713578400000,PLNND SHUTDOWN,27,SANTA CLARA,Active,Planned,6141b825-7b67-4efd-a055-5a1ba442e97d,#a8a800,,2434730
176,Feature,31919406,"{'type': 'Point', 'coordinates': [-122.51662, 37.9077]}",31919406,PGE,1713542432000,1713567600000,PLNND SHUTDOWN,48,MARIN,Active,Planned,d7f4ec1b-fbf7-4f35-a5fb-ba6339e3396c,#a8a800,,2434734
178,Feature,31919408,"{'type': 'Point', 'coordinates': [-122.22655, 37.38116]}",31919408,PGE,1713542400000,1713571200000,PLNND SHUTDOWN,4,SAN MATEO,Active,Planned,fa5f438a-95ed-4db0-8fb6-f9c2c1d2347b,#a8a800,,2434736
182,Feature,31919412,"{'type': 'Point', 'coordinates': [-123.21054, 38.52599]}",31919412,PGE,1713542400000,1713571200000,PLNND SHUTDOWN,24,SONOMA,Active,Planned,db2267c3-3566-4bc1-9d08-e6561ee8466e,#a8a800,,2434740
183,Feature,31919413,"{'type': 'Point', 'coordinates': [-122.69918, 37.92649]}",31919413,PGE,1713542662000,1713556800000,PLNND SHUTDOWN,19,MARIN,Active,Planned,fa65d8ad-6cf9-4328-9282-93ec52a8e6a2,#a8a800,,2434741
184,Feature,31919414,"{'type': 'Point', 'coordinates': [-121.92706, 37.28661]}",31919414,PGE,1713542700000,1713578400000,PLNND SHUTDOWN,163,SANTA CLARA,Active,Planned,336b66c0-41ec-4265-9c28-71298e011507,#a8a800,,2434742
185,Feature,31919415,"{'type': 'Point', 'coordinates': [-122.27207, 37.48924]}",31919415,PGE,1713542416000,1713556800000,PLNND SHUTDOWN,13,SAN MATEO,Active,Planned,05d39441-0209-4487-9fb7-27df1c2095ee,#a8a800,,2434743
187,Feature,31919417,"{'type': 'Point', 'coordinates': [-121.84559, 37.35856]}",31919417,PGE,1713542399000,1713560400000,PLNND SHUTDOWN,13,SANTA CLARA,Active,Planned,fd33be21-05e5-4f9c-9f33-10c1088e651c,#a8a800,,2434745
189,Feature,31919419,"{'type': 'Point', 'coordinates': [-122.2787, 37.51755]}",31919419,PGE,1713542413000,1713571200000,PLNND SHUTDOWN,60,SAN MATEO,Active,Planned,40139a84-d6ae-4b61-b06e-92683da73969,#a8a800,,2434747
191,Feature,31919421,"{'type': 'Point', 'coordinates': [-122.55375, 38.30171]}",31919421,PGE,1713542432000,1713562200000,PLNND SHUTDOWN,3,SONOMA,Active,Planned,23d5a266-e591-4a66-8db6-6c3d4559e67d,#a8a800,,2434749
199,Feature,31919429,"{'type': 'Point', 'coordinates': [-122.10011, 37.38401]}",31919429,PGE,1713542942000,1713571200000,PLNND SHUTDOWN,7,SANTA CLARA,Active,Planned,8507b0f9-c86d-4930-a603-b76e6a441ec2,#a8a800,,2434760
201,Feature,31919431,"{'type': 'Point', 'coordinates': [-121.65401, 37.12838]}",31919431,PGE,1713543042000,1713560400000,PLNND SHUTDOWN,6,SANTA CLARA,Active,Planned,dc59efea-93c9-41d7-8e19-9ffd43f76019,#a8a800,,2434762
204,Feature,31919434,"{'type': 'Point', 'coordinates': [-122.56976, 37.96939]}",31919434,PGE,1713543120000,1713571200000,PLNND SHUTDOWN,21,MARIN,Active,Planned,d8f23890-18bc-4eb8-92d9-ad4e95ecc691,#a8a800,,2434768
207,Feature,31919437,"{'type': 'Point', 'coordinates': [-122.38991, 37.56786]}",31919437,PGE,1713543179000,1713560400000,PLNND SHUTDOWN,6,SAN MATEO,Active,Planned,ebf37771-88b9-404d-bd75-51f72fe9d400,#a8a800,,2434771
209,Feature,31919439,"{'type': 'Point', 'coordinates': [-122.01225, 37.28602]}",31919439,PGE,1713541500000,1713569400000,PLNND SHUTDOWN,4,SANTA CLARA,Active,Planned,62dba5b0-0d5e-4f33-b92d-00aab07ec0f2,#a8a800,,2434773
211,Feature,31919441,"{'type': 'Point', 'coordinates': [-122.01252, 37.28605]}",31919441,PGE,1713542940000,1713576600000,,12,SANTA CLARA,Active,Not Planned,cc11672b-a1ab-447b-9be4-039a332efa97,#ffaa00,,2434776
212,Feature,31919442,"{'type': 'Point', 'coordinates': [-122.39203, 38.2907]}",31919442,PGE,1713543182000,1713562200000,PLNND SHUTDOWN,2,NAPA,Active,Planned,84c0c9a7-5827-49af-a16f-12469ab900d7,#a8a800,,2434777
213,Feature,31919443,"{'type': 'Point', 'coordinates': [-122.5189, 37.89868]}",31919443,PGE,1713543581000,1713552300000,,1,MARIN,Active,Not Planned,265b4b28-2241-42b2-b9b8-b37c992889df,#ffaa00,,2434778
217,Feature,31919447,"{'type': 'Point', 'coordinates': [-122.36757, 37.58993]}",31919447,PGE,1713543680000,1713564000000,PLNND SHUTDOWN,1,SAN MATEO,Active,Planned,4006776c-6a15-42f8-b563-951e5cc32c13,#a8a800,,2434782
